"id","mechanism","percentage","n","moderator","method","qp_full_power","rp_full_power","coefp_full_power","qp_recovered_power","rp_recovered_power","coefp_recovered_power","MSE_full","coef_bias_full","coef_var_full","deviance_full","MSE_recovered","coef_bias_recovered","coef_var_recovered","deviance_recovered"
54,"mnar",0.4,50,"1c1c","JOMO",0.947,0.997,0.246,0.947,0.998,0.016,0.180887368810292,0.00254912524291258,0.024086797853804,51.4437564629634,0.15464345387,0.0723760505004,0.02916409649,45.04471914
55,"mcar",0.1,10,"2c","JOMO",0.082,0.071,0.06,0.082,0.059,0.049,0.1874041655502,0.0176339985056898,0.195244256477019,5.46493226134141,0.173023376385,0.01482017462162,0.2140771569,5.1580559828
56,"mar",0.1,10,"2c","JOMO",0.089,0.072,0.081,0.089,0.053,0.034,0.184099437584723,-0.002999090248962,0.194569756553413,5.4099230072949,0.171298003937,0.0011604700129,0.212263776,5.131433406
57,"mnar",0.1,10,"2c","JOMO",0.09,0.079,0.062,0.09,0.07,0.045,0.183372979179876,0.0154524654789478,0.197337426478338,5.35990440552806,0.170112949811,0.03099866386056,0.2183767014,5.0572061455
58,"mcar",0.25,10,"2c","JOMO",0.083,0.089,0.07,0.083,0.067,0.044,0.181839174999487,0.00635228262409814,0.193880674713964,5.38138763815467,0.154269509732,0.0145163314898,0.2398635464,4.7528733519
59,"mar",0.25,10,"2c","JOMO",0.073,0.082,0.06,0.073,0.078,0.04,0.176459310880443,-0.0110270960028307,0.191944256470812,5.21417146516066,0.14889292643,0.0073051701854,0.2312001614,4.5920931999
60,"mnar",0.25,10,"2c","JOMO",0.082,0.072,0.07,0.082,0.047,0.035,0.182017463433115,0.0156818379572187,0.198970999843921,5.3508415737482,0.156655636658,0.031282534885,0.2413924885,4.7938660272
61,"mcar",0.4,10,"2c","JOMO",0.085,0.071,0.069,0.085,0.043,0.027,0.182497642512788,0.0100090583865685,0.195600119793506,5.35972548082002,0.134976449391,-0.0015510849169,0.2781110648,4.4597649873
62,"mar",0.4,10,"2c","JOMO",0.086,0.077,0.067,0.086,0.048,0.02,0.180384858617518,0.0272513053819158,0.19624144635898,5.32443199740909,0.128860735772,0.00873204036284,0.2667818856,4.29387284
63,"mnar",0.4,10,"2c","JOMO",0.094,0.09,0.077,0.094,0.053,0.037,0.181830264984492,0.0115458765117615,0.193743389164962,5.32077783390433,0.132352358296,0.023000326908,0.2628821807,4.3877549731
64,"mcar",0.1,25,"2c","JOMO",0.113,0.175,0.125,0.113,0.096,0.039,0.180657194333641,-0.00225466430558318,0.0542186825801893,22.1071277200249,0.17573289442,0.00662443399139,0.05622651918,21.618736325
65,"mar",0.1,25,"2c","JOMO",0.114,0.166,0.122,0.114,0.105,0.043,0.179675329420527,0.00528649853663421,0.0543584055978739,21.9945987375933,0.17422171494,0.0157710151006,0.05627553218,21.447243047
66,"mnar",0.1,25,"2c","JOMO",0.103,0.176,0.123,0.103,0.093,0.04,0.182429549227878,0.0075648933652392,0.0544435110418316,22.277982226142,0.17629745073,0.0171227785954,0.0554304388,21.661478653
67,"mcar",0.25,25,"2c","JOMO",0.105,0.164,0.122,0.105,0.083,0.029,0.182674984321205,0.00428888306731725,0.0546950113581689,22.3195288024257,0.16493855563,0.042417089255,0.06278036098,20.51977903
68,"mar",0.25,25,"2c","JOMO",0.104,0.162,0.104,0.104,0.094,0.029,0.183437404812832,-0.000649013903125013,0.0543572855516351,22.4182808355275,0.1649635663,0.0289104145519,0.06212804833,20.523958911
69,"mnar",0.25,25,"2c","JOMO",0.112,0.163,0.131,0.112,0.089,0.034,0.184636289276393,0.00283743980322482,0.0546192696352113,22.504427307737,0.16568981946,0.0460606679754,0.06119959203,20.559507373
70,"mcar",0.4,25,"2c","JOMO",0.11,0.167,0.117,0.11,0.083,0.023,0.180276287582899,0.00920472363444767,0.0544148430424957,22.0659875992246,0.14525122763,0.07166587663345,0.07247210441,18.456270926
71,"mar",0.4,25,"2c","JOMO",0.088,0.154,0.113,0.088,0.081,0.022,0.178634268727924,-0.00505423463615701,0.0538432480929479,21.9302661953892,0.1447492957,0.0448016024339,0.07362496305,18.417052213
72,"mnar",0.4,25,"2c","JOMO",0.108,0.15,0.11,0.108,0.075,0.029,0.181035702420204,9.02884008502811e-05,0.0545164251475813,22.1448921909295,0.14732826762,0.0525496611865,0.07413669147,18.674108442
73,"mcar",0.1,50,"2c","JOMO",0.135,0.353,0.227,0.135,0.172,0.048,0.182320821810044,-0.000382507807917171,0.0247137257989963,50.6734178718917,0.17672420412,0.0218149970528,0.02526903693,49.36524015
74,"mar",0.1,50,"2c","JOMO",0.144,0.332,0.227,0.144,0.173,0.039,0.18083288108829,0.00789140149916747,0.0247018151591011,50.2634384500342,0.17551121749,0.03108370316387,0.0253478904,49.02329034
75,"mnar",0.1,50,"2c","JOMO",0.12,0.347,0.219,0.12,0.164,0.051,0.18014369871638,-0.00246085409765058,0.0246226986857639,50.161951236314,0.17428927022,0.0201370237331,0.0247661014,48.80285019
76,"mcar",0.25,50,"2c","JOMO",0.15,0.344,0.237,0.15,0.187,0.026,0.182272296787647,0.00347168558954876,0.0247839950947779,50.6214613004992,0.16822640395,0.0549034260351,0.0267645412,47.33209401
77,"mar",0.25,50,"2c","JOMO",0.133,0.352,0.242,0.133,0.173,0.037,0.183418886689851,0.00222471695865897,0.0248714942711523,50.8820403619643,0.16888802103,0.05237589898195,0.02698712866,47.47164323
78,"mnar",0.25,50,"2c","JOMO",0.121,0.329,0.213,0.121,0.161,0.028,0.179839379163752,-0.0094879583641095,0.0246004381374492,50.0726312665408,0.16583477236,0.03882352559785,0.0259975874,46.78053651
79,"mcar",0.4,50,"2c","JOMO",0.131,0.347,0.246,0.131,0.163,0.021,0.179826303766623,0.00305362414043341,0.0245883561099496,50.0620342074279,0.15434088029,0.0804203498474,0.02981781496,43.99453082
80,"mar",0.4,50,"2c","JOMO",0.106,0.34,0.228,0.106,0.138,0.014,0.179933306341436,-0.0011658898951439,0.0244926299364895,50.1380244587764,0.15328466544,0.0670026483485,0.02994602029,43.76400417
81,"mnar",0.4,50,"2c","JOMO",0.139,0.303,0.213,0.139,0.141,0.03,0.182758721940755,-0.00560778895232139,0.024933220984238,50.7006263702996,0.15673984736,0.0668991267025,0.03103853973,44.55372681
